646	0.132743267335	0.132743267335	0.0866673645526	10	10
19	0.145367594954	0.145367594954	-0.077248788598	9	9
28	0.0907393910733	0.0907393910733	0.070458058569	8	8
791	0.0698828351862	0.0698828351862	-0.111620019167	7	7
635	0.0950481672079	0.0950481672079	0.050492976839	6	6
402	0.0871159664039	0.0871159664039	0.0766284526351	5	5
35	0.0832540608359	0.0832540608359	0.0678537072445	4	4
551	0.0739615749582	0.0739615749582	0.0790826457157	3	3
3925	0.0352471194007	0.0352471194007	-0.0829540352212	2	2
2	0.0740943307823	0.0740943307823	0.0294445504003	1	1
